,Utterance,Response
113766,and why was the having such hard sex ? tasha face made it uncomfortable to watch 😩😂,dead ass i started cracking up watching that sex scene
113768,nahhhh-like your team loses &amp; they get to pick the tattoo you get and vice versa.,oh no no no no no. i cant fathom the idea of getting a different team tattoo on me. especially ravens. 😂😂😂😂😂😂
113966,"finally, maymay gets to meet quen!",ahahaah!!! cant w8 to watch it!!! hahaha😂😂😂
114006,what we eating bro # 😂😂,lmao mommy not cooking for you fam 😭
114212,i just watched your snapstory. the best. “dog” 😂,i’ve done it before in dog dense areas but this was probably my best work
114246,i wanted to meet y'all 2day so bad! but you see the way my anxiety's set up.. i can't with that line 😫😳,damn you both for being so amazing! 😂
114894,i get the strangest dms 😂,lmfaoooooooo someone clearly has a foot fetish 😂😂
115050,lol at this point just walk up to someone and ask 😂😂,i'm good cash got me some raspberry kush
115178,"that's one passive-aggressive way to submit your resignation, mr. chairman.","i mean if you're threatening half the gop, u better be involved in some secret blood orgy cabal with all the oil execs 😂"
115292,i just want to fuck a wild n out girl that's it. rt,stop telling twitter you wanna fuck me 😂
115358,all the fucken time man !! 😂,yesss at least once a week 😂
115562,maris pastor mike said no fighting❤,is he on twitter? 😂
115568,made sleep on the floor last night bc she wouldn't shower before getting in my bed after toads😂,this is a false statement
115772,my mom just texted me to please call her and explain how she can take pics of her screen. (aka screen shot) 😂,so glad to know that even the eic of still has to deal with this. 😂
115846,ill take 3 points. lol,just being negative so when the good things happen they're that much more exciting 😂
116104,"wait, whut...you're stalking god?",nooooo lol!! maris starting rumors 😂😂😂
116116,if one stop had a rewards program what kind of member would you be?,"one stop is a liquor store in the heart of da hood in bangfield, ma fuckers! 😂"
116210,i always do this lmfao especially when they lose i still rep,"duhh cause if you do it when they win they be like ""oh now you wanna rep them"" 😂"
116318,i'm a popcorn making fool !! lol !!,what time is the movie at? 😂
116326,it explains why i'm constantly exhausted😅,5am shifts also explain it haha not good for anyone's health 😂
116368,forever thanking in my head for telling me that hand sanitizer gets sharpie off your nails 😭💖,the best thing i've ever realized. 😂
116658,out shopping and i bought this but my husband said i am not allowed to wear it in public 😂😂😂,i was totally distracted by the awesome sticker on your phone...but the outfit looks good too! 😉
116688,caught it on video. happens when i leave screen sharing open and let the machine sleep then wake it up again 😂,it's happy to see you
116756,i get drunk about once a year and also go to jack about once a year for some reason i combined the two im so sorry,i remember looking down at some and u were playing air guitar during k33p c4lm 😂
116798,omg this gif,lol i'm vry grateful for working his magic and *truly* capturing my essence 😂😂😂
116820,100% accurate! this applies to a few other fan bases but definitely uf. 😂,lol how quickly they forget.
116822,i love that we got a selfie together!,you went from a fiesty redhead to a spirit potato to a random goat in sf? 😂
116898,oh so niggas can play more games 😂😂😂 that's why he ain't read my shit 😂😂,😂😂😂 right like put that shit back on and keep it on
117032,i bet you was sad right after you tweeted that 😂,"it's all good mayne, it's still early in the game 😎"
117180,it's down pouring outside &amp; i just heard somebody walk past my dorm window singing unwritten😂😂,i'll keep it down next time! lol! 😬
117206,if you haven't gone to the apple store as a kid just to take selfies then you haven't lived life yet,"take weird selfies on their display macs, ipads, and phones and leave 😂"
117216,so is the browns 😂😂😂,battle of the asses 😂😂😂
117302,so you don't troll everybody by replacing a song liked by 30k peeps with 3 1/2 minutes of fart sounds! 😂,but that's the only reason i have a soundcloud :/
117894,defense still hasn't forced a turnover this year...,it's not like they've had much of a chance today! 😂
118044,"yeah, it was fun :) id ask you if you did but i already know you were lit 🤘🏼😂",haha ikr.. first time passing out in a bathroom 😱
118100,"wait, when did they change instagram so you could pinch and zoom the picture? i like it!","a few weeks ago, my mom was overjoyed. she's been trying to zoom in for years. 😂"
118262,lmfao we used to run the chami dances though 😂,all i'm saying is that we're come a long way (feat. real chaminade dance outfits)
118376,they made me do it! 😜😂,i bet you have a fantastic voice!
118464,i'm reaching but... could me and lupita nyongo be related? lol my middle name is similar to her last name. 😂,🤔🤔🤔 *adds u to the list of 🇰🇪s who think lupita is there cousin* 😂
118534,this just in......my are really really bad! 💩💩💩💩💩,haha! it's still early....😂😂😂
118730,running out of ideas. reusing comments more than funko recycles deadpool &amp; batman.😂,was that on one of your videos lol
118868,"raiders home opener..., gonna be a great season!!!!",let me slide for some tailgate food coach😂
119230,giants got more turnovers then they have points 😂😂😂😂😂😂😂,the jets going to make it pass the first round if they even make the playoffs ?
119398,yeah. and we going to make the playoffs light 😂,damn i always forget the last time y'all won a super bowl
119418,i love my fans,i am a fan of the jets and the heat 😂😂😂 i only know cause you told me 😭😂
119420,lmao 3 turnovers &amp; we're up by 7..... saints aren't meant to win this one😂,we're still playing like ass though😕
119440,lmfaooooo my boy breazaveli want that old thang back,lmfaoo that ciroc had me in my feelings 😂
119456,but i thought this is where we sell things. 😑😂,ask him what his offer is. who knows u might make extra hahah
119762,snakes in the grass cut em off b4 i trip on em 😂,@ lmaoooooo your aunt wildin 😂😂😂😩
120010,they went backwards,they're giving a lesson on how not to play the game of football. 😂
120026,ride or die💪🏽😂,both of your teams smell like shit 👈🏾
120078,when you get a flat in the middle of the trailer and have to walk back up the mountain 😭🔫,sorry if the water gun offends any one 😂
120192,coffee just tastes better on sundays.,then every day is a sunday for me 😂
120324,oh i thought you helped him with the draft,na all he did was text me asking if someone was good 😂
120624,okay but you on defense??? you were never a fan of contact,bruh they made me play both sides of the ball 😂
120734,told you that be the weakest shit stg 😭,"bro this is some whole ""kennywood sh*"" 😂😂😂😂"
120822,nah they tweaked it's aight i was too tired to do anything anyway and i don't got you on snap 🤔😂,blackguuy with 2 u's
120862,happy birthday aaron🎉 don't really know what you were doing in this,hahahah i don't even remember this but thanks bro!😂
121074,alex smith has 53 passing yards in the first half vs houston. must be tired from throwing for 363 yards last week vs chargers,not nice. can we move on please 😂⚡️😂
121280,"dad: ""blaine gabbert is in for the 49ers. what happened to the starter?"" me: (whispers) ""...blaine gabbert is the starter.""",legit had this same convo 😂
121418,first bryce gets kicked out of supercity because of a tweet and now he gets jumped smh,jumped .. why ? because of a tweet 😂
121474,"yup. i went to ur work lastnight before closing and matt was there &amp; he was like "" so u ever gonna reply?"" its been 3 mths",i thought that was my work on your snap &amp; man he's weird asf 😂
121654,dnt tell me yal gave away dona lilian too ☹️😂,😭😭😂😂😂 lol she's at a retirement home now in south city she still comes visit sometimes tho
121702,those gifs aren't gonna rotate themselves!,no gifs allowed! 😂
121966,never realized how many piercings i had until i had to take them out yesterday 😂,right my shit still hurt
122022,gotta be rough...always someone lurking in the shadows waiting to topple!!👑👤💥😈😂😂,haven't slept in months always looking overshadow
122334,that sideline looks familiar b ❤ 😂😂😂 tunnel😂😂😂,lmao!! we walked all around those sidelines. people knew we belonged there 😂
122402,just saw golf cart w/ &amp; driving. asked paul if townsend was uber driver 😂,what did he say?
122598,with the tutu!!! 😂😂,what browser are u using?
122786,oh shut it you guys are da best couple ive met 🙄💓😂,the most annoying couple* lmaoooo
122866,happy (late) bday can't wait to whoop your ass come golf season enjoy your bday sundae bro,"ayye thanks elbert, are you that ready to get whooped on the course?? 😂😂"
122934,"lmfao, i'm good for two more yrs. then im fucked 😂😂",at least you can accept it now 😂
123056,you shut out a team a week ago and get taxed this week! shows you how this defense is a fluke😂😂😂,"if any defense is a fluke it's the raiders ""elite"" d"
123092,youre mean as heeeeeelll to him though😭😂😂,only sometimes 💕
123122,so i fainted today. got a little hot apparently. great start to the vacation! 😂,dude! take care of yourself
123170,we beat super bowl winners 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,not this year lmfao
123210,i 'fixed' the websites cast list 😂,and now i want to listen to the obcr
123234,we beat super bowl winners 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,after they already clinched y'all division ?😂😂😂😂😂😂 great accomplishment
123246,like a boss 💪,and then we thought we saw dt and the guy waved to us 😂
123294,of course we're a team any enemy of steves is a friend of mine,lmfaoo wow 😂
123534,i literally just laughed out loud at this 😂😂😂,ehhhh there is some decent ones 😉 hahaha just kidding!
123544,"good q! the view that sex, as long as it's consensual, is a healthy and positive thing, &amp; there's no shame.",ooops i misunderstood that one too. 😹😂
123748,took me .3 seconds ✊🏽,lurking cousin 101 😂
123870,they ain't living right 😂,duh 😂😭 but they weird thas why
123922,3.5 km in! almost time for this guy to hop on my shoulder!,my pikachu won't jump on my shoulders. am i doing it wrong?😂
124358,just gotta get everyone else on board with this *the world is my book club* mentality 😂😂😂,"you know who else is good is, - always see them busy..! i'm def at the other end of that spectrum"
124652,"""yes, hello, may i speak to mr. griffin iii, please.""",0-2 it's not the end of the season 🏈🏈😂
124936,no vedday im talking about the old one its a blast 😂😂😂😂,ohhh yea that's good to deek he got layshov
124948,i got kidnapped by a woman visiting america from africa last night. that's how my night went😂,was that the black dont crack girl lmao
124990,happy mofucken birthday to dis nigga right hereee🤘🏻 mad love for you my gator 🐊💜 hope that hang over ain't too bad this morning😂,hahaha thanks 👌🏾that hang over isn't treating me well right now
125044,check this out if you havnt already! the chant at the end 😂,haha thay chant amazing dudes a helluva worker that theme brilliant to many new young guys in wwe
125070,dead lmaoooo,if it all was as simple as the swipe of my glasses 😂😂😂
125074,check this out if you havnt already! the chant at the end 😂,for him to shine and have the title and effort put into him
125080,wtw bro. cali lit?,it's cool lol it ain't too crazy out here 😂
125134,you deserve to be petty,you're a terrible influence on me😂
125176,if it all was as simple as the swipe of my glasses 😂😂😂,our sixth sense was off this time
125270,i hope he bites u 😇,shut up! he's probably plotting when to get me 😂
125474,"i thought when u said ""he has no regard for human life!!"" was the best ever but this take the cake !! 😂😂😂",haha i thought the birdman flapping his wings was pretty funny
125528,lmao never that. it's just niners nation❤️💛💛 &amp; you know that. 🤘🏾😂,yall getting smacked rn by the way
125796,"remember when someone tricked the whole fandom that the kid was called ""conchobar""",the most iconic moment ever 😂😂😂
125934,i do feel an increase need to become a better cook after reading that. 😂,i will send you a recipe for actually good vodka sauce; it is easy
125964,isn't this an old pic though? 😂,"yes, it's a picture from last years emmys!"
125998,the black shorts !!!,they always find there way back to me 😂
126212,lmaooooooo i still haven't lost a single follower and you're followers are even questioning you😂😂😂😂,stop harassing everyone she knows😂
126222,i was literally pissed tf off until i watched video even though i've watched it about 100 times😂,wow thank you! glad my videos could help out 🤘🏾❤️
126546,lmao his name is bobbybrown!? 😂,lmao my parents refuse so will discuss with breeder and rename 😂
126672,"you're an alcoholic, bro",dirty dino's finest 😂
126816,but it's not all bad... he did tell me i had left my keys in the door... 😂😂 😂,and today i came home to find this very polite note sitting on the cabinet... that is still on my porch!
126820,"quick, turn on notifications or you want me to slip on jello and fall off a building",i always had your notifications on but okaii😂😂
126878,your friend says hello,tell him die in a fire 😂😂
126908,honest to god! if i had the 87k they owed i would've paid it and invested 😂,jesus. but nah the girls could've got that deadass if they had somebody fighting for it a couple nasty fundraiser balls &gt;&gt;
127080,welcome to the club,"people just hate, like don't be jealous we happy 😂"
127098,welcome to the club,people just hate but lowkey jealous 😂
127186,happy birthday lauren! don't have any pictures of you so here's some photos of your boys lol have fun,lol thanks cam!😂
127216,game sounds o.d butthurt for no reason 😂😂😂,i was thinking the same shit
127242,happy b-day to an absolutely trash baller. someone who i've defeated numerous times 1v1 in basketball.,thank you bro i appreciate it!😂
127352,"holy crap, good job boo!! 13 miles in 2 hours.. i can barely do 4 in one 😂","i can barely do one in an hour, you go matty 👸🏼"
127458,i know!!! right??? it's bizarre!!,i don't know what's going on....😂😂😂
127488,well obvssss but they look good .. you mean the length? her hair doesn't look that bad to me just thin😂,trash can in space
127634,"it was only 2 weeks ago when bailly was the best cb on the planet. same when januzaj was the best, macheda was the best, et al...typical.",seeing united in misery over the past 4 years is awsome. honestly didn't see it coming this early this season😂
127638,sooo i'm watching i can do bad all by myself and my mom just pointed out that taraji is lip singing at the end 🤔,and now i feel dumb asf because i used to think that she was singing live on that part 😂😂
127852,yeah. star diagonal does that. forgot to unflip before posting. here's both!,i was only looking at which side was shadowed and thought… that looks… waxing… 😂😂😂
127918,"nlf denies the news. oh well, maybe next life😂","nlf? lmfao maybe in the ""next"" life you won't be illiterate"
128044,"american football it's called ""foot""ball but they only really use there hands it's called foot""ball"" but they don't really use a ball 🤔🤔🤔",i've been thinking about this for so long😂
128088,omg raiders are truly ass blood 😂,you bumped your head lmao 😂
128184,do you suffer from election stress disorder? your campaign obsession is part of a psychological epidemic,"now it's, ""don't pay to close attention to the , it might hurt your eyes."" 😂🙈😂"
128332,let me know how you like these!,"i'm not an ""audiophile"" so i'm a bad person to judge, but they sound fine according to my basic ears. 😂"
128418,he don't want to lol,he got a sack 😂😂
128700,this use to be my song when i was 14/15 😂😂,thats still my fave 🌚😂
128748,says the one whose only points came from a bs p.i.😂😂 our o is tearing ur d up and out d is shutting down ur o😂,yet your only up 6. 🤔 who's really ass? lol. it's only bs in your eyes cause it was called on your team. lol.
128774,. what about cruz whose hoping something happens to hillary so he can run as a democrat? 😂😂😂,'ttrustas farasicouldspit.
128792,"where are you mary, i expected you here!!",don't be surprised if you see me wandering on 70 one day with some luggage 😂
128864,about last night😈😂,did he do that on the cake
128940,me telling my friends about some dick i got,me when i tell you my hoe stories 😂
129254,"i'm not an ""audiophile"" so i'm a bad person to judge, but they sound fine according to my basic ears. 😂",so your not an audiophile and they’re “fine”? they must be terrible haha.
129280,lol....theres many liberal made laws...u know the sheep...follow,"try that nonsense with a judge, see what happens. 😂"
129340,when i woke up to this 😩😩❤️ 😂😂,ikno who this is 😂😂😂😂😂
129382,no that would be me!! 😂😂,been dragging this sock for an hour! we need another pop up question to motivate us
129558,she just took it 😂😂😂,lmfaooooooo
129682,feel sorry for ur queen 😂😂,madonna looks fabulous!
129848,what happens if you fall and can't get up 😂😂,looks like i'll be fucked then huh😂
129850,your profile says you block trolls; how do you do that to yourself? do your tweets ricochet off the block?,paid use glibness when they've been exposed lol 😂😂
129996,🤔🤔oh really?,you're a savage but beats you😂
129998,i was looking at it &amp;' i was like this looks like a big ipod,i'll just waste 200$ on an ipod instead of 800 on the 7😂
130108,omg what if you both got one 😂,i wouldn't get her one bc of the fact is falling being an issue but messing with her in one would be just as fun😂
130112,posing with spankers is out cold in the pugs-royce,spotted: lady being my posing assistant 😂😂😂
130130,exposed as what you detest in yourself? k.,"sorry, i stopped using the ""i know u r but what am i?"" defense in kindergarten😂"
130142,i love washington😍 definitely would consider moving here when i get out.,i was considering moving either there or oregon for school because its cheaper and nicer😂 and washington people are so rad 😂
130244,i swear these dogs think they're human sometimes 😂,how toby be 😂😭
130276,your mom is on twitter???,unfortunately yes. she still learning 😂
130332,how tf am i petty 💀 dont be so damn sensitive young guppy!,nevermind i take that back💀i love you chio😂😂😂
130386,"haha! that means it's time for the next bottle, eh?",probably so! 😂
130552,charles kelly 😂😂😂,lol you can't have a star on defense in the nfl but he would definitely try.
130750,try not to lose your shit killary will cheat the election anyway. p.s. your only a hypocrite if you deny it. killary is a killer,oh ok what ever you say teabag! lol 😂😂😂
131038,"lmao im just sayin, when i had a shorty my savagery escalated 10fold cuz i didnt care what other people thought except her 😂",oh you wellin moe. you gotta chill some then.
131072,could happen,me. hello. i exist in all my green hair glory. 😂😂😂
131324,that's how i would describe my new found addiction 😂😂,yassss i am proud 😂☕️
131486,"literally 10 seconds after that tweet, dropped the phone.",you’ve got to be kidding me! 😂
131634,it must be some sort of hobby to just be late or not to at all lol,"lol it isn't my fault though, ulta got me fucked up😂"
131646,man it's cause austin hooper(dls alum) is showin out 😂,nah bruh is trash
131656,excellent so great decisions come from peaceful secure calm place just out the sky?????😂😂😂😂,"you're saying that to be a wise guy, but it's totally true. talk soon. got to go"
131668,my tl goes from hating on matt ryan to cheering for him. it's fun.,it's hilarious 😂
131894,soooo happy she fell for it lmaoo she blocked us on twitter 😂😂,im about to get blocked too 😂😂😂😂
131918,incredibly painful to watch giuliana rancic try to talk to jerry seinfeld,"he kept cutting her off, when a question was asked 😂"
132220,"if you see a houseplant tweeting about passwords and opsec, it's probably me 😂😂😂😂😂",the thought of a house plant having an ip address fascinates me
132368,yep. not easy being a saints fan sometimes 😭,meanwhile crabtree just caught a 4th down td pass in the 4th quarter to tie it against the falcons... 😂😂
132544,don't drink &amp; drive! special thanks to for filming and editing! and ft.,tbt to farners class 😂
132578,the tree is winking at me and blowing me a kiss.....or maybe i've had too much wine 😂,enjoy more wine...never know what could happen next...
132704,so we're in the same online class dude... now i know why ur tweets are so relatable.,hahaha i just tweeted at you😂😂😂
132800,"watching football i go to order an irish trash can, and this dude pours me a jamison, blue curacao, then dumps a redbull in it like wtf!?",hahah probably his version of a irish trash can 😂😂😂
132862,we got fooled by team europe in the pre tournament games.. 😂,us the first two games of the regular season
132880,we got fooled by team europe in the pre tournament games.. 😂,i'm deff an anze
133004,"aww...jealous now. i ran around planet on own dime, went broke, became squatter in london.","'course the funny end to that is, dropped the art career, went into ethics, now millionaire &amp; back 2 my art 😂"
133092,i was like ohhh fuuuu excuse me 😂😂😂😂,damn really he told you that 😂😂
133300,yes i snatched that bag and was like go eat yo sopita 😂,"haha he should no not to boss you around 😂whenever i don't let him have something he like ""mom always say i can"""
133442,"you broke, yo pwussy stank, you borrow clothes, lost the little ass that you had playin wit ya nose","i dedicate this to my last hoe, swear i got cash and started acting like an asshole. 😂😂😂"
133546,they always beat the seahawks even that doesn't count,yah okay that means we will too... duh do the math😂
133698,that's what jordan says whenever i say no to him🙄 but i already know how that one is,yup i trust ty ty more than him 😂
133826,hahahaha. you're on a roll tonight!! 😂,who got it! the wine?
133864,it ain't even nude 😩😩😂,suck a white dick cause ik you don't like those
133886,"melanie mimosas are the bomb, don't you remember horn blowers??",okay. you guys lost me at the horn blowers 😂
133996,what my moms sends me on snap. boy do i miss my little pup,she sent it to me too. i was hecka laughing 😂
134150,when the pussy next to you on the thruway cant drive defensively like a real man so he has his whore of a gf throw her ice capp at you,literally know the chick that did it she tweeted about it 😂😂
134184,current status: hanging out at the pool and drinking la croix... like an hipster. look california what you did 😂,now who's enjoying the ca lifestyle?
134422,someone download uber eats and use my code.,i've gotten at least 4 codes but i still haven't downloaded it😂😂
134466,sure wouldn't of 😂 but yeah you was buggin talking crazy yesterday 😂😂😂,was all out of character 😭 i'm never drinking again
134626,i need u to tweet now since y'all lost 😂😂😂,my last disrespectful tweet will be
134758,shows how my life's a mess 😂,can't be thattt bad
134806,"this 12yr old kid was rapping the first verse of uber everywhere, down to the ""skrt skrt"" i was crying bruh 😂","i was walking behind him, hella giggin, tryna hype him up 🤘"
134808,i don't even know why i like you tbh,🎶 i dont even like you why did you want to go and make me feel this way 🎶 i'm sorry 😂 i'm trash 😂😂
134836,"if i were you, i would've taken their money and food, and kill them and dump their bodies on the road",what the heck?!😳😂
135014,i just want one date with cory booker. just a dinner and a little wine. 😂,"when he took me out on my date, he was strictly a tequila neat type of guy."
135018,come play with us! 🔪,i love this😂
135066,"lol i couldn't find the letter ""h"" 😂",10 retweets and im gettin a harmbe tatoo
135116,this is a lie my aquarius friends are worse than me😂😂😂,yea we pretty shitty lol
135118,"nope, one makes me gain weight...the other apparently makes me a horrible person 😕",lol sadly idk which is which. 😂😂
135174,scooting around sonoma 😋🏎🏍😘 @ sonoma raceway,you gals should start a biker gang 😂
135190,why do i have 35 mentions ? 🙈,35? that's it?😂
135348,i had the biggest crush on jesses wife becca 😍 she still looks good 😏,jesse was dead ass my first love😂
135384,pastor jerry just put alotta pressure on my friend sonny,what did he do 😂😂
135400,"homie, tell raider fans to shut up with the mack comparisons , lol",i don't know any raiders fans homie 😂
135510,oh i leave and these niggas start going out to eat and shit ahahah 😤😤☹️,"lmao, my family be doing me like that too 😂"
135522,"""eight corsets, nine pairs of spanx"" - on her outfit. 😂😂😂",she should've gone for ten.
135542,&amp; omg i know i miss being able to joke around bc im not comfortable with my new team to do that yet😂😂😂,i seriously can't last a whole year without you on the team😭
135606,has this been done before? 📢,"also, name who sings it 😂"
135690,wiley turns 21 on tuesday... that means i turn 21 on tuesday🍻🍾🎉,😂😂😂 good luck with that one 😂
135708,some larries are acting like they're pediatric doctors now and they know everything about babies. when will y'all stop?,i'm a larrie and i think it's stupid that some larries think they know everything about babies 😒 like chill 😂
135790,so scary ...madi text us about this last night! so glad you are safe &amp; you had a nice uber driver 😃,"hahah yesss❤️❤️ it was for sure scary, i had to call madi and tell her every detail of course 😂"
135810,i can't tell....,this again!! 😂😂😂
135882,goes both way bruh quit crying lol we kept up wit em if u watched,nigga shut up lol. ain't no moral w's for loses. lost by 20. shut up 😂😂😂😂
135938,basically what i've been eating for the past couple of weeks cause celebrating my birthday 😂,when was your birthday?!
136004,😂😂😂😂🖕🏻 fuck you can tho....your baby will fall 😂😂😂,wtf!!! 😂😂😂😂😂😂😂
136074,"louis is carrying his baby in a baby carrier and the larries still find a way to make that a ""sketchy"" thing i cant",i'm a larrie and i think it's stupid that so many larries just over-analyze this shit 😂
136080,don't tell daddy beyoncé what to do,zhshdhd can you just not 😭😭😂😂
136150,lmaoooooo what kind of pussy shit was that!? 😂,😭😭😭😭😭😭 lmfao wassup though talk your shyt 👏🏽👏🏽👏🏽👏🏽
136178,you're an embarrassment to the collins name 😂,for someone who knows so much about dfs ur being extremely results based rn
136374,"lmao, my family be doing me like that too 😂",maybe because i'm fat? lol
136426,nothing moral about it lol u say 20 y'all woulda got smacked too take ya l and quit cryin it's a long season 😂,don't worry bout the raiders lol we in the offs. 2-14 coming y'all way.
136820,this was from senior year 😂,i feel like this was junior year lol
136870,i do the same when the parent finally flips its shit on that kid. secretly we feel better about ourselves without judging.,"haha, that's when i laugh behind my hands. love to see other parents losing their shit 😂😂"
136980,"haha, that's when i laugh behind my hands. love to see other parents losing their shit 😂😂",kind of like seeing your parents dance: embarrassed for them while secretly knowing you do the same thing.
137512,"you blame it on everyone else tho, like it's not the worlds fault you've been a no show 3 times or always late to class lol",i don't show up bc they schedule me when i'm not available and i'm late the class bc people don't drive fast enough😂
137624,i can't sleep for 5 days 😂,deadass?? why
137626,is rails steakhouse a sponsor? this is the 3rd or 4th filmed scene there... 😂,- i know..... i agree!
137780,ohio state is in the nation! remember this night ?,lol that was new years eve😂
138168,why show me when you could invite me 😇,"true true, i got you when my birthday gets here 🤘🏽😂"
138180,"3/ in reality, you don't need to have your brain scanned to get rx for meds. it's about fitting a personality type.","4/ …and as believers in a religion that places a great deal of faith in personality tests, you 2 should approve. 😂"
138364,"oh honey, don't take it personally. was just being grossly generalistic 😂","if i ever call you a deplorable, i'm not being grossly generalistic. i mean it ! 😉"
138396,"""i love the les mis songs."" 🎶jean valjean, get my things! grab my bags! we must gooooo!🎶 the best 😂",one of my favorite scenes/movies. thank you for this! 😂❤️
138416,your terrible haha,"i know hahah, i'll own up to that😂"
138518,"question: michelle says trump 'traffics in prejudice, fears &amp; lies' - isn't that her job? yea hers and obamas😂😂😂😂😂",and she does it so well.
138530,all of those shows are i don't get how people believe that stuff,right. it's all acting 😂
138562,where is zain it's to hot to be sitting outside omg,***too....im supposed to be a writing major😂
138618,. looking very enthusiastic tonight😂,wow...more honest than pols.....
138688,"it's a miracle, you owning up to something 😳😳 should start doing to more often 😂😂",i only own up when it's actually true lmao
138828,"agree, but that dude screaming for help had me dying. 😂😂😂😂","lmao. yeah, i loled at that guy too. not gonna lie. still, no room for that bs at a sporting event."
139192,destiny: are those your real nails? they're ugly me: okay you don't even have nails destiny: i have enough to scratch your balls 😂😂😂,wtf you guys are men !
139224,talk about dumb! the entire world knows why except her? 😂😂😂,oh she knows. it's the new dog whistle. using deplorable in your twitter handle to id yourself to others.
139444,i fucking lost it 😂😂😂,i just don't see what the old guy was bugging for
139564,te miento. that tweet wasn't for you.,haha so it's just for some people?🤔😂
139604,on the plus jazz band is a constant solo for you,so far we've only done theory.. which would be fine and all if i didn't already know everything he's teaching😂
139874,my biggest pet peeve is when it's obvious that you have filled in your eyebrow,yes lawdddd 🙏🏾 fill in a little but if it looks like you used eyeliner plz stop 😂
140006,maybe i should just go on this show,wtf is that show😳😂
140010,"and leslie jones, you are still a major loser btw!!",siriano really wore everybody tonight 😂
140022,you only see what i want you to see 👀,so much for deleting twitter 😂
140056,ummm......what.did.i.just.watch? 😳😳😂😂😂,i hold you partially responsible for what i just went through ... what i just went throouggghh
140114,"don't say anything, just retweet",don't laugh 😂
140174,life is good again 👌🏻 thanks 😂,no prob! it literally took me forever to figure it out myself 😂
140358,when ur walking down santana row and realize u ain't shit,not that i thought i was cool at all but like i feel even less 😂😂
140532,siriano really wore everybody tonight 😂,sarah paulson does deserve the just for her dress 👗 (miuccia does it better!)
140566,finally someone says an answer i wanna hear! lmao,been there and i love it 😂
140598,lmfao i was like it's nice to do things with your friends she was like yea true 😂,we was trying to find some tings in atl but all the girls down there mess with rappers and scammers so yeah 😕
140690,i must've done something right in life to deserve to be able to call this snapchat obsessed girl mine😂,what were you saying ? 🤔
140848,lololol i work at walmart and i see all these pumpkin stuff and you come to mind 1st smh. im like how can ppl like this stuff 😂,stop hating lmao
141036,he does know 😂😂😂,you know something ur right. he told ghost himself
141164,you agreed to that tho 🤔🤔,cause only i can call myself terrible 😂
141366,sick! an ambitious start! 💪🏽,"yeah, def not putting this on anyone any time soon. 😂"
141666,you insisted of getting your leg in the picture instead of me 😂😂😂,omg 😂😂😂 i was wondering what that was 😂😩😂
141686,live look at the raiders defense,looks like he paid $60 just get wasted outside the coliseum 😂😂
141690,retweet the na one 😂,*insert pandacat related excuse*
141704,"this guy sitting next to me was trynna get his girl back so hard talking about ""mami tu eres mi vida"" and she was not having it at all lmao",she didn't say a thing the entire time so i'm pretty sure she was just there for the tacos 😂😂😂
141714,lol i ain't said it wasn't im saying he gassing the uglies up 😂😂😂,"they probably not ugly, maybe they glo up hasn't started just yet"
141716,if anyone ever decides to date me &amp; you're my friend &amp; it seems like i'm not spending as much time with you please call me out on that shit.,nah because i understand that you're getting the d and that's more important 😂😂
141726,oh okay good because i think nat lowkey feels like james did it 😂,i cant wait til james finds out eveything about his fellow hgs
142020,hey hey get outta here help!!!💀,wait that kid is really scared for his life i'm dead😂
142090,"the reaction 2 the engagement cracked me up 😂 feel like thats something every friend would say 😂, nice of u to confirm that!😂",- so happy for her! pete is an amazing person!
142150,i always choose one upset just yoloed it 😂,i do the same thing but that was a real good call😂😂😂
142560,girl you weren't supposed to put me on blast like that! 😂😂😂,lolol when i'm giving a toast at yalls wedding....
142622,see that's that nice shit you be having issues w 😂,you right. damn man i hate being a cancer 😂😂😂😂
142644,y wud u do that to urself to begin w,honestly idk ask 7th grade me i couldnt tell ya what was goin thru my head at the time😂
142702,dont forget me on the other side of the world 😂,lmao let's do something tonight
142814,lmao he actually did it all 😂 halfway thru i woulda told her to get it her damn self since she single now 😂,right? idk how he even put up with her ungrateful ass
143030,right! 😩 girls out here asking their bf for hella stuff.. i'd feel hella guilty if that was me 😂,"exactly! like food is fine for me, i don't need you to buy me clothes &amp; whatever else. save it for something you want! 😂😂"
143088,"only beyonce could lose and still command a (twitter) headline. also, y'all petty as shit for this one ! 😂😂😂😂",i just said the same thing to justin!
143090,time warner cable news made fun of dad at the game i am deceased 😂😂😂😂,i was dying when i was watching this 😂
143150,"i think you read that in the wrong tone, lol 😂",clearly i did. my brain is recovering from being baked in the sun. i'm missing something here.
143308,neither are y'all. rams winning the division. 😂😂😂,too early in the season. we'll catch up
143314,were all going to jump on like a dog pile 😂😂,she wont get on twitter just be her mom selling
143424,coming from the girl that asked me advice on how to get your boyfriend to be more dominant.. 👌🏼😂,what's that got to do with anything? that was before you decided to be a fucking creep
143538,so i may have been really particular about hairstyles when i first started 🤓😂,i'm at the top 1% lol
143554,i guess because boyz ii men? i'm trying here. 😂,maggie smith beat out 3 actresses. that's called beast-ing.
143640,sitting here reading tweets from the delusional . they actually thought beyonce was gonna win. 😂,the shade☂️
